Player,Hands,VPIP,PFR,3Bet,Postflop_Agg,WTSD,W$SD,WinRate
DeZAZcPNNQ5w+Wb+5ujZdA,308,22.4025974025974,16.233766233766232,1.6233766233766231,45.13274336283185,56.52173913043478,76.92307692307693,-2.6201298701298725
id+sbECX+YdI8qhMhpje+g,33,45.45454545454545,15.151515151515152,3.0303030303030303,50.0,61.53846153846154,87.5,-107.27272727272727
vETYfpoA+FhBercnDPJrRw,4280,21.35514018691589,15.116822429906543,1.074766355140187,32.766615146831526,46.547314578005114,80.4945054945055,6.643691588785048
uwsIGbIB4ktlhz44JKQKDQ,231,40.692640692640694,8.658008658008658,2.1645021645021645,30.88235294117647,65.3061224489796,67.1875,-27.186147186147195
ahN79dgDL8C99nHik5Up7Q,8,50.0,12.5,12.5,0.0,66.66666666666666,25.0,-181.25
9tEZRm6oI+e1Tz0x72b0vQ,294,29.931972789115648,7.142857142857142,1.3605442176870748,23.717948717948715,51.76470588235295,77.27272727272727,45.646258503401356
AiiJXMM0CfYl69+Nq3jyfA,71,14.084507042253522,8.450704225352112,0.0,10.344827586206897,66.66666666666666,87.5,9.859154929577464
s32h30cC3rPhG5FiSCU42g,231,36.79653679653679,22.943722943722943,1.7316017316017316,27.027027027027028,54.666666666666664,68.29268292682927,-25.108225108225103
ZpYc8/ksQYSNFEFIeiSSWw,82,28.04878048780488,6.097560975609756,0.0,19.230769230769234,23.809523809523807,60.0,-37.19512195121951
ZQ13pknK/yulZJwcJYSmvw,8,25.0,12.5,0.0,66.66666666666666,0.0,0.0,-125.0
GMdM9fVK5CwO/31pjnWvVw,440,11.136363636363637,7.045454545454545,0.0,16.346153846153847,34.92063492063492,72.72727272727273,-17.079545454545457
1b84VBN1xftLtjOgGMOFKQ,87,16.091954022988507,5.747126436781609,2.2988505747126435,38.46153846153847,61.53846153846154,50.0,-45.63218390804598
LHSEggf8hUg0kqvaCgiJcw,13,53.84615384615385,7.6923076923076925,0.0,33.33333333333333,57.14285714285714,75.0,501.15384615384625
KX/0x8JtlabNJOZ7jkDHaw,783,21.839080459770116,6.257982120051085,0.2554278416347382,28.776978417266186,40.7185628742515,79.41176470588235,3.6334610472541518
YnmJng67aC1XXLmkUMV2Dw,34,26.47058823529412,5.88235294117647,0.0,46.666666666666664,50.0,25.0,-263.6764705882353
w6qRl6TZmQuJka9XP2muNQ,135,15.555555555555555,7.4074074074074066,1.4814814814814816,10.714285714285714,28.57142857142857,66.66666666666666,-33.87407407407405
kExuS3SxZYRG/oFTl97LzA,1037,19.286403085824492,5.593056894889104,0.19286403085824494,13.274336283185843,25.70093457943925,72.72727272727273,0.4050144648023136
SLci9sHTuIkSI2tZEfLK2Q,189,35.44973544973545,14.285714285714285,1.5873015873015872,27.927927927927925,55.00000000000001,57.57575757575758,-53.492063492063494
CDetvT4g6S8jOSWgtzSf7g,2205,14.965986394557824,11.564625850340136,0.9070294784580499,31.313131313131315,44.8051948051948,80.43478260869566,-5.214965986394566
vXwj8p1pA6ltLShUDXuk3w,2,50.0,0.0,0.0,0.0,100.0,0.0,-550.0
kukN3pTqN1CyHqx/bq+8xw,38,55.26315789473685,13.157894736842104,0.0,50.0,56.25,100.0,125.0
c6u64hpBVK0VIc6NUysIqA,29,34.48275862068966,13.793103448275861,6.896551724137931,50.0,63.63636363636363,71.42857142857143,-176.20689655172413
